14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100
0.1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 30, 40, 50, 60, 70, 80, 90, 100
           t         gam           m         rho
   3.1938E+03  1.1578E+00  2.8778E+01  4.4832E+00
   2.9857E+03  1.1601E+00  2.9040E+01  2.7694E+00
   3.2053E+03  1.1589E+00  2.8806E+01  5.2167E+00
   2.9943E+03  1.1614E+00  2.9063E+01  3.2228E+00
   3.2152E+03  1.1599E+00  2.8830E+01  5.9485E+00
   3.0016E+03  1.1626E+00  2.9083E+01  3.6753E+00
   3.2238E+03  1.1608E+00  2.8851E+01  6.6790E+00
   3.0079E+03  1.1636E+00  2.9100E+01  4.1270E+00
   3.2315E+03  1.1616E+00  2.8870E+01  7.4084E+00
   3.0134E+03  1.1645E+00  2.9116E+01  4.5780E+00
   3.2383E+03  1.1623E+00  2.8886E+01  8.1367E+00
   3.0184E+03  1.1653E+00  2.9129E+01  5.0283E+00
   2.8639E+03  1.1342E+00  2.8189E+01  1.1998E-01
   2.7159E+03  1.1342E+00  2.8524E+01  7.3944E-02
   3.0210E+03  1.1473E+00  2.8560E+01  7.8395E-01
   2.8420E+03  1.1490E+00  2.8856E+01  4.8374E-01
   3.0748E+03  1.1524E+00  2.8689E+01  1.5474E+00
   2.8833E+03  1.1548E+00  2.8966E+01  9.5528E-01
   3.1052E+03  1.1554E+00  2.8762E+01  2.3043E+00
   2.9061E+03  1.1584E+00  2.9028E+01  1.4229E+00
   3.1262E+03  1.1576E+00  2.8813E+01  3.0571E+00
   2.9216E+03  1.1609E+00  2.9070E+01  1.8882E+00
